x,y,vx,vy,Paddle.y
395.0,295.0,-5,-5,298.3333333333333
390.0,290.0,-5,-5,290.0
385.0,285.0,-5,-5,268.3333333333333
380.0,280.0,-5,-5,256.6666666666667
375.0,275.0,-5,-5,288.3333333333333
370.0,270.0,-5,-5,245.0
365.0,265.0,-5,-5,243.33333333333334
360.0,260.0,-5,-5,306.6666666666667
355.0,255.0,-5,-5,278.3333333333333
350.0,250.0,-5,-5,313.3333333333333
345.0,245.0,-5,-5,255.0
340.0,240.0,-5,-5,235.0
335.0,235.0,-5,-5,233.33333333333334
330.0,230.0,-5,-5,320.0
325.0,225.0,-5,-5,271.6666666666667
320.0,220.0,-5,-5,270.0
315.0,215.0,-5,-5,265.0
310.0,210.0,-5,-5,233.33333333333334
305.0,205.0,-5,-5,261.6666666666667
300.0,200.0,-5,-5,330.0
295.0,195.0,-5,-5,220.0
290.0,190.0,-5,-5,333.3333333333333
285.0,185.0,-5,-5,225.0
280.0,180.0,-5,-5,216.66666666666666
275.0,175.0,-5,-5,251.66666666666669
270.0,170.0,-5,-5,253.33333333333331
265.0,165.0,-5,-5,248.33333333333334
260.0,160.0,-5,-5,343.3333333333333
255.0,155.0,-5,-5,341.6666666666667
250.0,150.0,-5,-5,205.0
245.0,145.0,-5,-5,345.0
240.0,140.0,-5,-5,203.33333333333334
235.0,135.0,-5,-5,351.6666666666667
230.0,130.0,-5,-5,205.0
225.0,125.0,-5,-5,355.0
220.0,120.0,-5,-5,356.6666666666667
215.0,115.0,-5,-5,231.66666666666666
210.0,110.0,-5,-5,201.66666666666666
205.0,105.0,-5,-5,225.0
200.0,100.0,-5,-5,216.66666666666666
195.0,95.0,-5,-5,338.3333333333333
190.0,90.0,-5,-5,206.66666666666666
185.0,85.0,-5,-5,328.3333333333333
180.0,80.0,-5,-5,191.66666666666666
175.0,75.0,-5,-5,191.66666666666666
170.0,70.0,-5,-5,186.66666666666666
165.0,65.0,-5,-5,185.0
160.0,60.0,-5,-5,185.0
155.0,55.0,-5,-5,295.0
150.0,50.0,-5,-5,170.0
145.0,45.0,-5,-5,285.0
140.0,40.0,-5,-5,186.66666666666666
135.0,35.0,-5,-5,278.3333333333333
135.0,35.0,-5,5,175.0
130.0,40.0,-5,5,145.0
125.0,45.0,-5,5,265.0
120.0,50.0,-5,5,260.0
115.0,55.0,-5,5,143.33333333333334
110.0,60.0,-5,5,148.33333333333334
105.0,65.0,-5,5,146.66666666666666
100.0,70.0,-5,5,188.33333333333334
95.0,75.0,-5,5,150.0
90.0,80.0,-5,5,253.33333333333331
85.0,85.0,-5,5,195.0
80.0,90.0,-5,5,246.66666666666666
75.0,95.0,-5,5,248.33333333333334
70.0,100.0,-5,5,161.66666666666666
65.0,105.0,-5,5,160.0
60.0,110.0,-5,5,165.0
55.0,115.0,-5,5,196.66666666666666
50.0,120.0,-5,5,240.0
45.0,125.0,-5,5,238.33333333333334
40.0,130.0,-5,5,233.33333333333334
35.0,135.0,-5,5,235.0
35.0,135.0,5,5,175.0
40.0,140.0,5,5,231.66666666666666
45.0,145.0,5,5,175.0
50.0,150.0,5,5,180.0
55.0,155.0,5,5,201.66666666666666
60.0,160.0,5,5,225.0
65.0,165.0,5,5,181.66666666666666
70.0,170.0,5,5,218.33333333333334
75.0,175.0,5,5,185.0
80.0,180.0,5,5,218.33333333333334
85.0,185.0,5,5,213.33333333333334
90.0,190.0,5,5,230.0
95.0,195.0,5,5,231.66666666666666
100.0,200.0,5,5,193.33333333333334
105.0,205.0,5,5,235.0
110.0,210.0,5,5,208.33333333333334
115.0,215.0,5,5,203.33333333333334
120.0,220.0,5,5,200.0
125.0,225.0,5,5,235.0
130.0,230.0,5,5,203.33333333333334
135.0,235.0,5,5,228.33333333333334
140.0,240.0,5,5,230.0
145.0,245.0,5,5,193.33333333333334
150.0,250.0,5,5,210.0
155.0,255.0,5,5,190.0
160.0,260.0,5,5,213.33333333333334
165.0,265.0,5,5,215.0
170.0,270.0,5,5,188.33333333333334
175.0,275.0,5,5,186.66666666666666
180.0,280.0,5,5,223.33333333333334
185.0,285.0,5,5,183.33333333333334
190.0,290.0,5,5,223.33333333333334
195.0,295.0,5,5,248.33333333333334
200.0,300.0,5,5,226.66666666666666
205.0,305.0,5,5,261.6666666666667
210.0,310.0,5,5,230.0
215.0,315.0,5,5,173.33333333333334
220.0,320.0,5,5,236.66666666666666
225.0,325.0,5,5,258.3333333333333
230.0,330.0,5,5,168.33333333333334
235.0,335.0,5,5,280.0
240.0,340.0,5,5,273.3333333333333
245.0,345.0,5,5,163.33333333333334
250.0,350.0,5,5,243.33333333333334
255.0,355.0,5,5,286.6666666666667
260.0,360.0,5,5,158.33333333333334
265.0,365.0,5,5,156.66666666666666
270.0,370.0,5,5,151.66666666666666
275.0,375.0,5,5,153.33333333333334
280.0,380.0,5,5,153.33333333333334
285.0,385.0,5,5,155.0
290.0,390.0,5,5,156.66666666666666
295.0,395.0,5,5,158.33333333333334
300.0,400.0,5,5,146.66666666666666
305.0,405.0,5,5,161.66666666666666
310.0,410.0,5,5,173.33333333333334
315.0,415.0,5,5,156.66666666666666
320.0,420.0,5,5,183.33333333333334
325.0,425.0,5,5,188.33333333333334
330.0,430.0,5,5,185.0
335.0,435.0,5,5,198.33333333333334
340.0,440.0,5,5,195.0
345.0,445.0,5,5,208.33333333333334
350.0,450.0,5,5,205.0
355.0,455.0,5,5,210.0
360.0,460.0,5,5,223.33333333333334
365.0,465.0,5,5,228.33333333333334
370.0,470.0,5,5,233.33333333333334
375.0,475.0,5,5,238.33333333333334
380.0,480.0,5,5,235.0
385.0,485.0,5,5,240.0
390.0,490.0,5,5,253.33333333333331
395.0,495.0,5,5,236.66666666666666
400.0,500.0,5,5,255.0
405.0,505.0,5,5,256.6666666666667
410.0,510.0,5,5,245.0
415.0,515.0,5,5,260.0
420.0,520.0,5,5,261.6666666666667
425.0,525.0,5,5,263.3333333333333
430.0,530.0,5,5,265.0
435.0,535.0,5,5,253.33333333333331
440.0,540.0,5,5,276.6666666666667
445.0,545.0,5,5,270.0
450.0,550.0,5,5,271.6666666666667
455.0,555.0,5,5,195.0
460.0,560.0,5,5,283.3333333333333
465.0,565.0,5,5,276.6666666666667
465.0,565.0,5,-5,278.3333333333333
470.0,560.0,5,-5,266.6666666666667
475.0,555.0,5,-5,290.0
480.0,550.0,5,-5,283.3333333333333
485.0,545.0,5,-5,293.3333333333333
490.0,540.0,5,-5,295.0
495.0,535.0,5,-5,296.6666666666667
500.0,530.0,5,-5,245.0
505.0,525.0,5,-5,291.6666666666667
510.0,520.0,5,-5,293.3333333333333
515.0,515.0,5,-5,295.0
520.0,510.0,5,-5,265.0
525.0,505.0,5,-5,298.3333333333333
530.0,500.0,5,-5,305.0
535.0,495.0,5,-5,303.3333333333333
540.0,490.0,5,-5,303.3333333333333
545.0,485.0,5,-5,276.6666666666667
550.0,480.0,5,-5,278.3333333333333
555.0,475.0,5,-5,308.3333333333333
560.0,470.0,5,-5,295.0
565.0,465.0,5,-5,311.6666666666667
570.0,460.0,5,-5,270.0
575.0,455.0,5,-5,315.0
580.0,450.0,5,-5,288.3333333333333
585.0,445.0,5,-5,286.6666666666667
590.0,440.0,5,-5,320.0
595.0,435.0,5,-5,318.3333333333333
600.0,430.0,5,-5,316.6666666666667
605.0,425.0,5,-5,311.6666666666667
610.0,420.0,5,-5,271.6666666666667
615.0,415.0,5,-5,301.6666666666667
620.0,410.0,5,-5,261.6666666666667
625.0,405.0,5,-5,291.6666666666667
630.0,400.0,5,-5,286.6666666666667
635.0,395.0,5,-5,241.66666666666666
640.0,390.0,5,-5,293.3333333333333
645.0,385.0,5,-5,228.33333333333334
650.0,380.0,5,-5,283.3333333333333
655.0,375.0,5,-5,261.6666666666667
660.0,370.0,5,-5,235.0
665.0,365.0,5,-5,233.33333333333334
670.0,360.0,5,-5,220.0
675.0,355.0,5,-5,230.0
680.0,350.0,5,-5,253.33333333333331
685.0,345.0,5,-5,231.66666666666666
690.0,340.0,5,-5,226.66666666666666
695.0,335.0,5,-5,223.33333333333334
